# Campos do contrato da NFS-e que NÃO aparecem no INI do RPS (ABRASF e layouts
# próprios), e o porquê de cada um. O contrato é único para os dois layouts, e o
# leitor de INI da biblioteca também: os grupos detalhados e a Reforma Tributária
# vão nos dois, porque há gravador municipal que os leva ao XML. Ver o cabeçalho
# de internal/cte/testdata/nao_espelhadas.tsv.
#
# Formato: <caminho no payload>  <TAB>  <motivo>
ambiente	configura a sessão; não é campo da DPS
referencia	correlação do cliente, volta na resposta e não entra no documento
infDPS.prest.CPF	um CNPJ ou um CPF viaja no mesmo campo, nunca os dois
infDPS.toma.CPF	um CNPJ ou um CPF viaja no mesmo campo, nunca os dois
infDPS.interm.CPF	um CNPJ ou um CPF viaja no mesmo campo, nunca os dois
infDPS.ibscbs.dest.CPF	um CNPJ ou um CPF viaja no mesmo campo, nunca os dois
infDPS.ibscbs.documentos[].fornecCPF	um CNPJ ou um CPF viaja no mesmo campo, nunca os dois
infDPS.prest.regTrib.opSimpNac	convertido para o OptanteSimplesNacional do ABRASF, que é Sim ou Não: o código de três valores do Padrão Nacional não sobrevive à conversão
infDPS.serv.cMunPrestacao	um município só vai em CodigoMunicipio, e o de incidência tem precedência
