1507300	PadraoNacional	
1507409	PadraoNacional	
1507458	Fiorilli	2.00
1507466	Fiorilli	2.00
1507474	Bauhaus	
1507607	Aspec	
1507706	PadraoNacional	
1507755	PadraoNacional	
1507805	PadraoNacional	
1507904	ISSIntel	
1507953	Fiorilli	2.00
1507961	PadraoNacional	
1507979	PadraoNacional	
1508001	PadraoNacional	
1508035	PadraoNacional	
1508050	PadraoNacional	
1508084	PadraoNacional	
1508100	PadraoNacional	
1508126	PadraoNacional	
1508159	PadraoNacional	
1508209	PadraoNacional	
1508308	PadraoNacional	
1508357	PadraoNacional	
1508407	Desenvolve	2.03
1600055	PadraoNacional	
1600154	PadraoNacional	
1600204	PadraoNacional	
1600212	PadraoNacional	
1600238	PadraoNacional	
1600303	ISSNet	
1600402	Fiorilli	2.00
1600550	PadraoNacional	
1600600	PadraoNacional	
1600709	MegaSoft	2.00
1600808	PadraoNacional	
1700251	MegaSoft	2.00
1700301	MegaSoft	2.00
1700400	MegaSoft	2.00
1701002	MegaSoft	2.00
1701051	PadraoNacional	
1701101	MegaSoft	2.00
1701309	PadraoNacional	
1702109	WebISS	2.02
1702158	PadraoNacional	
1702208	WebISS	2.02
1702307	MegaSoft	2.00
1702406	MegaSoft	2.00
1702554	MegaSoft	2.00
1702901	Fiorilli	2.00
1703008	PadraoNacional	
1703057	PadraoNacional	
1703073	MegaSoft	2.00
1703107	MegaSoft	2.00
1703305	MegaSoft	2.00
1703701	PadraoNacional	
1703826	PadraoNacional	
1703842	MegaSoft	2.00
1703867	Prodata	2.01
1703883	PadraoNacional	
1703909	MegaSoft	2.00
1705508	MegaSoft	2.00
1705557	MegaSoft	2.00
1705607	PadraoNacional	
1706001	MegaSoft	2.00
1706100	MegaSoft	2.00
1706506	MegaSoft	2.00
1707009	WebISS	2.02
1707108	PadraoNacional	
1707207	MegaSoft	2.00
1707553	MegaSoft	2.00
1707702	PadraoNacional	
1708205	MegaSoft	2.00
1708254	PadraoNacional	
1708304	MegaSoft	2.00
1709005	MegaSoft	2.00
1709302	PadraoNacional	
1709500	WebISS	2.02
1709807	Centi	2.02
1710706	MegaSoft	2.00
1711100	PadraoNacional	
1711803	MegaSoft	2.00
1711902	MegaSoft	2.00
1712009	MegaSoft	2.00
1712157	MegaSoft	2.00
1712405	MegaSoft	2.00
1712504	MegaSoft	2.00
1712702	MegaSoft	2.00
1712801	PadraoNacional	
1713205	PadraoNacional	
